class,name,price,etl_date,brand,capacity,drive_type,read_speed,write_speed,model,id,capacity_value,capacity_unit,cut_name
固態硬碟 M.2｜SSD,十銓 TEAM MP44 1TB/Gen4/讀:7400M/寫:6500M/TLC顆粒/具石墨烯散熱標籤(五年),2399,2024-03-12,十銓 TEAM MP,1TB,SSD,7400.0,6500.0,TEAM MP44,TEAM MP44,1000.0,GB,十銓 TEAM MP44 1TB
固態硬碟 M.2｜SSD,十銓 TEAM MP44 2TB/Gen4/讀:7400M/寫:7000M/TLC顆粒/具石墨烯散熱標籤(五年),3899,2024-03-12,十銓 TEAM MP,2TB,SSD,7400.0,7000.0,TEAM MP44,TEAM MP44,2000.0,GB,十銓 TEAM MP44 2TB
固態硬碟 M.2｜SSD,十銓 TEAM MP44 4TB/Gen4/讀:7400M/寫:6900M/TLC顆粒/具石墨烯散熱標籤(五年),8299,2024-03-12,十銓 TEAM MP,4TB,SSD,7400.0,6900.0,TEAM MP44,TEAM MP44,4000.0,GB,十銓 TEAM MP44 4TB
固態硬碟 M.2｜SSD,十銓 TEAM MP44 8TB/Gen4/讀:7200M/寫:6000M/TLC顆粒/具石墨烯散熱標籤by order~,26888,2024-03-12,十銓 TEAM MP,8TB,SSD,7200.0,6000.0,TEAM MP44,TEAM MP44,8000.0,GB,十銓 TEAM MP44 8TB
固態硬碟 M.2｜SSD,十銓 T-ForceZ44L黑武士(石墨烯)250G/Gen4 PCIe 4.0/讀:3300M/寫:1400M(五年),999,2024-03-12,十銓 T-ForceZ,,SSD,3300.0,1400.0,Gen4,Gen4,,,十銓 T-ForceZ44L黑武士
固態硬碟 M.2｜SSD,十銓 T-ForceZ44L黑武士(石墨烯)500G/Gen4 PCIe 4.0/讀:3300M/寫:2400M(五年),1199,2024-03-12,十銓 T-ForceZ,,SSD,3300.0,2400.0,Gen4,Gen4,,,十銓 T-ForceZ44L黑武士
固態硬碟 M.2｜SSD,十銓 T-ForceZ44L黑武士(石墨烯)1TB/Gen4 PCIe 4.0/讀:3500M/寫:3000M(五年),1799,2024-03-12,十銓 T-ForceZ,1TB,SSD,3500.0,3000.0,Gen4,Gen4,1000.0,GB,十銓 T-ForceZ44L黑武士
固態硬碟 M.2｜SSD,十銓 T-ForceZ44A5極限零(石墨烯)1TB/Gen4 PCIe 4.0/讀:5000M/寫:4400M(五年),2099,2024-03-12,十銓 T-ForceZ,1TB,SSD,5000.0,4400.0,Gen4,Gen4,1000.0,GB,十銓 T-ForceZ44A5極限零
固態硬碟 M.2｜SSD,十銓 T-ForceZ44A5極限零(石墨烯)2TB/Gen4 PCIe 4.0/讀:5000M/寫:4400M(五年),3699,2024-03-12,十銓 T-ForceZ,2TB,SSD,5000.0,4400.0,Gen4,Gen4,2000.0,GB,十銓 T-ForceZ44A5極限零
固態硬碟 M.2｜SSD,十銓 T-ForceA440黑曜女神(雙散熱)1TB/Gen4/讀:7000M/寫:5500M/DRAM快取(五年),2599,2024-03-12,十銓 T-ForceA,1TB,SSD,7000.0,5500.0,Gen4,Gen4,1000.0,GB,十銓 T-ForceA440黑曜女神
固態硬碟 M.2｜SSD,十銓 T-ForceA440黑曜女神(雙散熱)2TB/Gen4/讀:7000M/寫:6900M/DRAM快取(五年),4099,2024-03-12,十銓 T-ForceA,2TB,SSD,7000.0,6900.0,Gen4,Gen4,2000.0,GB,十銓 T-ForceA440黑曜女神
固態硬碟 M.2｜SSD,Seagate FireCuda 530 4TB/Gen4 PCIe 4.0/(火梭魚)讀:7300M/寫:6900M/TLC【五年保】,12990,2024-03-12,Seagate FireCuda,4TB,SSD,7300.0,6900.0,Seagate FireCuda 530,Seagate FireCuda 530,4000.0,GB,Seagate FireCuda 530 4TB
固態硬碟 M.2｜SSD,Seagate FireCuda 530 2TB光劍限定版/散熱片/Gen4 PCIe 4.0/(火梭魚)讀:7300M/寫:6900M,7199,2024-03-12,Seagate FireCuda,2TB,SSD,7300.0,6900.0,Seagate FireCuda 530,Seagate FireCuda 530,2000.0,GB,Seagate FireCuda 530 2TB
固態硬碟 M.2｜SSD,MSI 微星 M450 500G/Gen4/讀:3600M/寫:3000M/3D TLC顆粒/五年,1290,2024-03-12,MSI 微星 M,,SSD,3600.0,3000.0,M450,M450,,,MSI 微星 M450
固態硬碟 M.2｜SSD,MSI 微星 M450 1TB/Gen4/讀:3600M/寫:3000M/3D TLC顆粒/五年,2290,2024-03-12,MSI 微星 M,1TB,SSD,3600.0,3000.0,M450,M450,1000.0,GB,MSI 微星 M450
固態硬碟 M.2｜SSD,WD 藍標 SN580 500GB/Gen4 PCIe 4.0/讀:4000/寫:3600/TLC【五年】,1550,2024-03-12,WD 藍標 SN,500GB,SSD,4000.0,3600.0,SN580,SN580,500.0,GB,WD 藍標 SN580 500GB
固態硬碟 M.2｜SSD,WD 藍標 SN580 1TB/Gen4 PCIe 4.0/讀:4150/寫:4150/TLC【五年】,2550,2024-03-12,WD 藍標 SN,1TB,SSD,4150.0,4150.0,SN580,SN580,1000.0,GB,WD 藍標 SN580 1TB
固態硬碟 M.2｜SSD,WD 藍標 SN580 2TB/Gen4 PCIe 4.0/讀:4150/寫:4150/TLC【五年】,4550,2024-03-12,WD 藍標 SN,2TB,SSD,4150.0,4150.0,SN580,SN580,2000.0,GB,WD 藍標 SN580 2TB
固態硬碟 M.2｜SSD,WD 黑標 SN770 500GB/Gen4 PCIe 4.0/讀:5000/寫:4000/TLC【五年】,1550,2024-03-12,WD 黑標 SN,500GB,SSD,5000.0,4000.0,SN770,SN770,500.0,GB,WD 黑標 SN770 500GB
固態硬碟 M.2｜SSD,WD 黑標 SN770 1TB/Gen4 PCIe 4.0/讀:5150/寫:4900/TLC【五年保】,2650,2024-03-12,WD 黑標 SN,1TB,SSD,5150.0,4900.0,SN770,SN770,1000.0,GB,WD 黑標 SN770 1TB
固態硬碟 M.2｜SSD,WD 黑標 SN770 2TB/Gen4 PCIe 4.0/讀:5150/寫:4850/TLC【五年保】,4700,2024-03-12,WD 黑標 SN,2TB,SSD,5150.0,4850.0,SN770,SN770,2000.0,GB,WD 黑標 SN770 2TB
固態硬碟 M.2｜SSD,WD 黑標 SN850X 1TB/Gen4 PCIe 4.0/讀:7300/寫:6300/TLC/電競級【五年】,2900,2024-03-12,WD 黑標 SN,1TB,SSD,7300.0,6300.0,SN850X,SN850X,1000.0,GB,WD 黑標 SN850X 1TB
固態硬碟 M.2｜SSD,WD 黑標 SN850X 2TB/Gen4 PCIe 4.0/讀:7300/寫:6600/TLC/電競級【五年】,5150,2024-03-12,WD 黑標 SN,2TB,SSD,7300.0,6600.0,SN850X,SN850X,2000.0,GB,WD 黑標 SN850X 2TB
固態硬碟 M.2｜SSD,WD 黑標 SN850X 1TB/含散熱片/Gen4 PCIe 4.0/讀:7300/寫:6300/TLC/電競級,3450,2024-03-12,WD 黑標 SN,1TB,SSD,7300.0,6300.0,SN850X,SN850X,1000.0,GB,WD 黑標 SN850X 1TB
固態硬碟 M.2｜SSD,WD 黑標 SN850X 2TB/含散熱片/Gen4 PCIe 4.0/讀:7300/寫:6600/TLC/電競級【五年保】,5650,2024-03-12,WD 黑標 SN,2TB,SSD,7300.0,6600.0,SN850X,SN850X,2000.0,GB,WD 黑標 SN850X 2TB
固態硬碟 M.2｜SSD,金士頓 NV2 250G/Gen4 PCIe 4.0/讀:3000/寫:1300三年保固,880,2024-03-12,金士頓 NV,,SSD,3000.0,1300.0,NV2,NV2,,,金士頓 NV2 250G
固態硬碟 M.2｜SSD,金士頓 NV2 500G/Gen4 PCIe 4.0/讀:3500/寫:2100三年保固,1180,2024-03-12,金士頓 NV,,SSD,3500.0,2100.0,NV2,NV2,,,金士頓 NV2 500G
固態硬碟 M.2｜SSD,金士頓 NV2 1TB/Gen4 PCIe 4.0/讀:3500/寫:2100三年保固,1750,2024-03-12,金士頓 NV,1TB,SSD,3500.0,2100.0,NV2,NV2,1000.0,GB,金士頓 NV2 1TB
固態硬碟 M.2｜SSD,金士頓 NV2 2TB/Gen4 PCIe 4.0/讀:3500/寫:2800三年保固~加送斜背胸包~,3450,2024-03-12,金士頓 NV,2TB,SSD,3500.0,2800.0,NV2,NV2,2000.0,GB,金士頓 NV2 2TB
固態硬碟 M.2｜SSD,金士頓 NV2 4TB/Gen4 PCIe 4.0/讀:3500/寫:2800三年保固~加送斜背胸包~,6990,2024-03-12,金士頓 NV,4TB,SSD,3500.0,2800.0,NV2,NV2,4000.0,GB,金士頓 NV2 4TB
固態硬碟 M.2｜SSD,金士頓 KC3000 512G/Gen4 PCIe 4.0/讀:7000/寫:3900/TLC,1850,2024-03-12,金士頓 KC,,SSD,7000.0,3900.0,KC3000,KC3000,,,金士頓 KC3000 512G
固態硬碟 M.2｜SSD,金士頓 KC3000 1TB/Gen4 PCIe 4.0/讀:7000/寫:6000/TLC,2700,2024-03-12,金士頓 KC,1TB,SSD,7000.0,6000.0,KC3000,KC3000,1000.0,GB,金士頓 KC3000 1TB
固態硬碟 M.2｜SSD,金士頓 KC3000 2TB/Gen4 PCIe 4.0/讀:7000/寫:7000/TLC~加送斜背胸包~,4700,2024-03-12,金士頓 KC,2TB,SSD,7000.0,7000.0,KC3000,KC3000,2000.0,GB,金士頓 KC3000
固態硬碟 M.2｜SSD,金士頓 KC3000 4TB/Gen4 PCIe 4.0/讀:7000/寫:7000/TLC~加送斜背胸包~,11000,2024-03-12,金士頓 KC,4TB,SSD,7000.0,7000.0,KC3000,KC3000,4000.0,GB,金士頓 KC3000
固態硬碟 M.2｜SSD,金士頓 FURY Renegade 500G/Gen4 PCIe 4.0/讀:7300/寫:3900/TLC,2050,2024-03-12,金士頓 FURY Renegade,,SSD,7300.0,3900.0,FURY Renegade 500G,FURY Renegade 500G,,,金士頓 FURY Renegade 500G
固態硬碟 M.2｜SSD,金士頓 FURY Renegade 1TB/Gen4 PCIe 4.0/讀:7300/寫:6000/TLC,3200,2024-03-12,金士頓 FURY Renegade,1TB,SSD,7300.0,6000.0,FURY Renegade 1TB,FURY Renegade 1TB,1000.0,GB,金士頓 FURY Renegade
固態硬碟 M.2｜SSD,金士頓 FURY Renegade 2TB/Gen4 PCIe 4.0/讀:7300/寫:7000/TLC~加送斜背胸包~,4900,2024-03-12,金士頓 FURY Renegade,2TB,SSD,7300.0,7000.0,FURY Renegade 2TB,FURY Renegade 2TB,2000.0,GB,金士頓 FURY Renegade
固態硬碟 M.2｜SSD,金士頓 FURY Renegade 4TB/Gen4 PCIe 4.0/讀:7300/寫:7000/TLC~加送斜背胸包~,12300,2024-03-12,金士頓 FURY Renegade,4TB,SSD,7300.0,7000.0,FURY Renegade 4TB,FURY Renegade 4TB,4000.0,GB,金士頓 FURY Renegade
固態硬碟 M.2｜SSD,美光Micron Crucial P3 Plus 500G/Gen4 PCIe 4.0/讀:4700M/寫:1900M/QLC顆粒/五年,1150,2024-03-12,美光Micron Crucial P,,SSD,4700.0,1900.0,Crucial P3,Crucial P3,,,美光 Micron Crucial P3 Plus 500G
固態硬碟 M.2｜SSD,美光Micron Crucial P3 Plus 1TB/Gen4 PCIe 4.0//讀:5000M/寫:3600M/QLC顆粒/五年,1778,2024-03-12,美光Micron Crucial P,1TB,SSD,5000.0,3600.0,Crucial P3,Crucial P3,1000.0,GB,美光Micron Crucial P3 Plus 1TB
固態硬碟 M.2｜SSD,美光Micron Crucial P3 Plus 2TB/Gen4 PCIe 4.0/讀:5000M/寫:4200M/QLC顆粒/五年,3500,2024-03-12,美光Micron Crucial P,2TB,SSD,5000.0,4200.0,Crucial P3,Crucial P3,2000.0,GB,美光 Micron Crucial P3 Plus 2TB
固態硬碟 M.2｜SSD,美光Micron Crucial P3 Plus 4TB/Gen4 PCIe 4.0/讀:5000M/寫:4200M/QLC顆粒/五年,7100,2024-03-12,美光Micron Crucial P,4TB,SSD,5000.0,4200.0,Crucial P3,Crucial P3,4000.0,GB,美光 Micron Crucial P3 Plus 4TB
固態硬碟 M.2｜SSD,美光Micron Crucial T500 500G/Gen4 PCIe 4.0/讀:7400M/寫:7000M/3D TLC顆粒/五年,2250,2024-03-12,美光Micron Crucial T,,SSD,7400.0,7000.0,Crucial T500,Crucial T500,,,美光Micron Crucial T500
固態硬碟 M.2｜SSD,美光Micron Crucial T500 1TB/Gen4 PCIe 4.0/讀:7400M/寫:7000M/3D TLC顆粒/五年,3400,2024-03-12,美光Micron Crucial T,1TB,SSD,7400.0,7000.0,Crucial T500,Crucial T500,1000.0,GB,美光 Micron Crucial T500 1TB
固態硬碟 M.2｜SSD,美光Micron Crucial T500 1TB含散熱片/Gen4/讀:7400M/寫:7000M/3D TLC顆粒/五年,3750,2024-03-12,美光Micron Crucial T,1TB,SSD,7400.0,7000.0,Crucial T500,Crucial T500,1000.0,GB,美光 Micron Crucial T500 1TB
固態硬碟 M.2｜SSD,美光Micron Crucial T500 2TB含散熱片/Gen4/讀:7400M/寫:7000M/3D TLC顆粒/五年,5199,2024-03-12,美光Micron Crucial T,2TB,SSD,7400.0,7000.0,Crucial T500,Crucial T500,2000.0,GB,美光 Micron Crucial T500 2TB
固態硬碟 M.2｜SSD,三星 Samsung 980 PRO 500G/Gen4 PCIe 4.0/讀:6900/寫:5000/五年保*星睿奇,2599,2024-03-12,三星 Samsung,,SSD,6900.0,5000.0,Samsung 980,Samsung 980,,,三星 Samsung 980 PRO
固態硬碟 M.2｜SSD,三星 Samsung 980 PRO 1TB/Gen4 PCIe 4.0/讀:7000/寫:5000/五年保*星睿奇,2949,2024-03-12,三星 Samsung,1TB,SSD,7000.0,5000.0,Samsung 980,Samsung 980,1000.0,GB,三星 Samsung 980 PRO
固態硬碟 M.2｜SSD,三星 Samsung 980 PRO 2TB/Gen4 PCIe 4.0/讀:7000/寫:5100/五年保*星睿奇,4899,2024-03-12,三星 Samsung,2TB,SSD,7000.0,5100.0,Samsung 980,Samsung 980,2000.0,GB,三星 Samsung 980 PRO
固態硬碟 M.2｜SSD,三星 Samsung 980 PRO 1TB含散熱片/Gen4 PCIe 4.0/讀:7000/寫:5000/五年保*星睿奇,3449,2024-03-12,三星 Samsung,1TB,SSD,7000.0,5000.0,Samsung 980,Samsung 980,1000.0,GB,三星 Samsung 980 PRO 1TB
固態硬碟 M.2｜SSD,三星 Samsung 980 PRO 2TB含散熱片/Gen4 PCIe 4.0/讀:7000/寫:5100/五年保*星睿奇,6149,2024-03-12,三星 Samsung,2TB,SSD,7000.0,5100.0,Samsung 980,Samsung 980,2000.0,GB,三星 Samsung 980 PRO 2TB
固態硬碟 M.2｜SSD,三星 Samsung 990 PRO 1TB/Gen4 PCIe 4.0/讀:7450/寫:6900/五年保*星睿奇,3549,2024-03-12,三星 Samsung,1TB,SSD,7450.0,6900.0,Samsung 990,Samsung 990,1000.0,GB,三星 Samsung 990 PRO 1TB
固態硬碟 M.2｜SSD,三星 Samsung 990 PRO 2TB/Gen4 PCIe 4.0/讀:7450/寫:6900/五年保*星睿奇,5649,2024-03-12,三星 Samsung,2TB,SSD,7450.0,6900.0,Samsung 990,Samsung 990,2000.0,GB,三星 Samsung 990 PRO 2TB
固態硬碟 M.2｜SSD,三星 Samsung 990 PRO 4TB/Gen4 PCIe 4.0/讀:7450/寫:6900/五年保*星睿奇,12599,2024-03-12,三星 Samsung,4TB,SSD,7450.0,6900.0,Samsung 990,Samsung 990,4000.0,GB,三星 Samsung 990 PRO 4TB
固態硬碟 M.2｜SSD,三星 Samsung 990 PRO 1TB含散熱片/Gen4 PCIe 4.0/讀:7450/寫:6900/五年保*星睿奇,4049,2024-03-12,三星 Samsung,1TB,SSD,7450.0,6900.0,Samsung 990,Samsung 990,1000.0,GB,三星 Samsung 990 PRO 1TB
固態硬碟 M.2｜SSD,三星 Samsung 990 PRO 2TB含散熱片/Gen4 PCIe 4.0/讀:7450/寫:6900/五年保*星睿奇,5649,2024-03-12,三星 Samsung,2TB,SSD,7450.0,6900.0,Samsung 990,Samsung 990,2000.0,GB,三星 Samsung 990 PRO 2TB
固態硬碟 M.2｜SSD,三星 Samsung 990 PRO 4TB含散熱片/Gen4 PCIe 4.0/讀:7450/寫:6900/五年保*星睿奇,13099,2024-03-12,三星 Samsung,4TB,SSD,7450.0,6900.0,Samsung 990,Samsung 990,4000.0,GB,三星 Samsung 990 PRO 4TB
固態硬碟 M.2｜SSD,KLEVV CRAS C710 256G/Gen3/讀:1950M/寫:1250M/TLC/SLC(五年),588,2024-03-12,KLEVV CRAS C,,SSD,1950.0,1250.0,CRAS C710,CRAS C710,,,KLEVV CRAS C710 256G
固態硬碟 M.2｜SSD,KLEVV CRAS C710 512G/Gen3/讀:2050M/寫:1650M/TLC/SLC(五年),909,2024-03-12,KLEVV CRAS C,,SSD,2050.0,1650.0,CRAS C710,CRAS C710,,,KLEVV CRAS C710 512G
固態硬碟 M.2｜SSD,KLEVV CRAS C710 1TB/Gen3/讀:2050M/寫:1650M/TLC/SLC(五年),1359,2024-03-12,KLEVV CRAS C,1TB,SSD,2050.0,1650.0,CRAS C710,CRAS C710,1000.0,GB,KLEVV CRAS C710 1TB
固態硬碟 M.2｜SSD,威剛 ADATA LEGEND 710 256G/Gen3/讀:2100M/寫:1000M/QLC顆粒/三年保/贈散熱片,699,2024-03-12,威剛 ADATA LEGEND,,SSD,2100.0,1000.0,ADATA LEGEND 710,ADATA LEGEND 710,,,ADATA LEGEND 710
固態硬碟 M.2｜SSD,威剛 ADATA LEGEND 710 512G/Gen3/讀:2400M/寫:1000M/QLC顆粒/三年保/贈散熱片,1099,2024-03-12,威剛 ADATA LEGEND,,SSD,2400.0,1000.0,ADATA LEGEND 710,ADATA LEGEND 710,,,ADATA LEGEND 710
固態硬碟 M.2｜SSD,威剛 ADATA LEGEND 710 1TB/Gen3/讀:2400M/寫:1800M/QLC顆粒/三年保/贈散熱片,1699,2024-03-12,威剛 ADATA LEGEND,1TB,SSD,2400.0,1800.0,ADATA LEGEND 710,ADATA LEGEND 710,1000.0,GB,ADATA LEGEND 710
固態硬碟 M.2｜SSD,威剛 XPG SX6000 Lite 512G/Gen3/讀:1800M/寫:1200M/TLC 五年保 附XPG散熱片,899,2024-03-12,威剛 XPG SX,,SSD,1800.0,1200.0,XPG SX6000,XPG SX6000,,,威剛 XPG SX6000 Lite 512G
固態硬碟 M.2｜SSD,威剛 XPG SX8200Pro 512G/Gen3讀:3500M寫:2300M/SMI控/DRAM快取/五年/贈散熱片,1049,2024-03-12,威剛 XPG SX,,SSD,3500.0,2300.0,XPG SX8200Pro,XPG SX8200Pro,,,威剛 XPG SX8200Pro 512G
固態硬碟 M.2｜SSD,威剛 XPG SX8200Pro 1T/Gen3讀:3500M寫:3000M/SMI控/DRAM快取/五年/贈散熱片,1799,2024-03-12,威剛 XPG SX,,SSD,3500.0,3000.0,XPG SX8200Pro,XPG SX8200Pro,,,威剛 XPG SX8200Pro 1T
固態硬碟 M.2｜SSD,SK 海力士 Gold P31 500G/Gen3/讀:3500/寫:3200/DRAM快取(五年),1449,2024-03-12,SK 海力士 Gold P,,SSD,3500.0,3200.0,Gold P31,Gold P31,,,SK 海力士 Gold P31 500G
固態硬碟 M.2｜SSD,SK 海力士 Gold P31 1TB/Gen3/讀:3500/寫:3200/DRAM快取(五年),2499,2024-03-12,SK 海力士 Gold P,1TB,SSD,3500.0,3200.0,Gold P31,Gold P31,1000.0,GB,SK 海力士 Gold P31 1TB
固態硬碟 M.2｜SSD,SK 海力士 Gold P31 2TB/Gen3/讀:3500/寫:3100/DRAM快取(五年),4450,2024-03-12,SK 海力士 Gold P,2TB,SSD,3500.0,3100.0,Gold P31,Gold P31,2000.0,GB,SK 海力士 Gold P31 2TB
固態硬碟 M.2｜SSD,技嘉 Gen3 2500E 500G/讀:2300M/寫:1500M/QLC顆粒/三年保,990,2024-03-12,技嘉 Gen,,SSD,2300.0,1500.0,Gen3,Gen3,,,技嘉 Gen3 2500E
固態硬碟 M.2｜SSD,技嘉 Gen3 2500E 1TB/讀:2400M/寫:1800M/QLC顆粒/三年保,1990,2024-03-12,技嘉 Gen,1TB,SSD,2400.0,1800.0,Gen3,Gen3,1000.0,GB,技嘉 Gen3 2500E
固態硬碟 M.2｜SSD,美光Micron Crucial P3 1TB/Gen3/讀:3500M/寫:3000M/3D QLC顆粒/五年,1699,2024-03-12,美光Micron Crucial P,1TB,SSD,3500.0,3000.0,Crucial P3,Crucial P3,1000.0,GB,美光Micron Crucial P3 1TB
固態硬碟 M.2｜SSD,美光Micron Crucial P3 2TB/Gen3/讀:3500M/寫:3000M/3D QLC顆粒/五年,3388,2024-03-12,美光Micron Crucial P,2TB,SSD,3500.0,3000.0,Crucial P3,Crucial P3,2000.0,GB,美光Micron Crucial P3 2TB
固態硬碟 M.2｜SSD,美光Micron Crucial P3 4TB/Gen3/讀:3500M/寫:3000M/3D QLC顆粒/五年,6788,2024-03-12,美光Micron Crucial P,4TB,SSD,3500.0,3000.0,Crucial P3,Crucial P3,4000.0,GB,美光Micron Crucial P3 4TB
固態硬碟 M.2｜SSD,三星 Samsung 970 EVO Plus 500G/Gen3/讀:3500/寫:3200/TLC/五年保*星睿奇,2379,2024-03-12,三星 Samsung,,SSD,3500.0,3200.0,Samsung 970,Samsung 970,,,三星 Samsung 970 EVO Plus
固態硬碟 M.2｜SSD,三星 Samsung 970 EVO Plus 1TB//Gen3/讀:3500/寫:3300/TLC/五年保*星睿奇,3899,2024-03-12,三星 Samsung,1TB,SSD,3500.0,3300.0,Samsung 970,Samsung 970,1000.0,GB,三星 Samsung 970 EVO Plus 1TB
固態硬碟 M.2｜SSD,三星 Samsung 970 EVO Plus 2TB/Gen3/讀:3500/寫:3300/TLC/五年保*星睿奇,6899,2024-03-12,三星 Samsung,2TB,SSD,3500.0,3300.0,Samsung 970,Samsung 970,2000.0,GB,三星 Samsung 970 EVO Plus 2TB
固態硬碟 M.2｜SSD,三星 Samsung 980 500G/Gen3/讀:3500/寫:2600/TLC/五年保*星睿奇,1899,2024-03-12,三星 Samsung,,SSD,3500.0,2600.0,Samsung 980,Samsung 980,,,三星 Samsung 980 500G
固態硬碟 M.2｜SSD,三星 Samsung 980 1TB/Gen3/讀:3500/寫:3000/TLC/五年保*星睿奇,2499,2024-03-12,三星 Samsung,1TB,SSD,3500.0,3000.0,Samsung 980,Samsung 980,1000.0,GB,三星 Samsung 980
傳統內接硬碟 HDD,Toshiba 1TB【P300系列】 (64M/7200轉/三年保)(HDWD110UZSVA),1550,2024-03-12,Toshiba,1TB,HDD,,,Toshiba 1TB,Toshiba 1TB,1000.0,GB,Toshiba P300 1TB
傳統內接硬碟 HDD,Toshiba 2TB【P300系列】 (256M/7200轉/三年保)(HDWD320UZSVA),1950,2024-03-12,Toshiba,2TB,HDD,,,Toshiba 2TB,Toshiba 2TB,2000.0,GB,Toshiba P300 2TB
