class,name,price,etl_date,brand,model,hz,cut_name
螢幕｜投影機｜壁掛,【主機搭購】BenQ GW2475H(1A2H/5ms/IPS/無喇叭)不閃屏.低藍光.護眼螢幕▼下殺到 3/18 23:59,2488,2024-03-17,BenQ,GW2475H,,BenQ GW2475H
螢幕｜投影機｜壁掛,【主機搭購】BenQ BL2480(Plus) (1A1H1P/5ms/IPS/含喇叭)三介面文書.光智慧護眼 $2988↘,2888,2024-03-17,BenQ,BL2480,,BenQ BL2480
螢幕｜投影機｜壁掛,【主機搭購】BenQ MOBIUZ EX2710S(2H1P/IPS/165Hz/含喇叭/FreeSync Premium/HDR10)$6288↘,5888,2024-03-17,BenQ,MOBIUZ,165Hz,BenQ MOBIUZ EX2710S
螢幕｜投影機｜壁掛,【主機搭購】BenQ MOBIUZ EX2710R(2H1P/1ms/VA曲面/165Hz/含喇叭/FreeSync Premium Pro)保亮點 $8988↘,6688,2024-03-17,BenQ,MOBIUZ,165Hz,BenQ MOBIUZ EX2710R
螢幕｜投影機｜壁掛,【主機搭購】ACER EK241Y E(1A1H/1ms/IPS/100Hz/無喇叭/FreeSync)抗閃系列 $2588↘,2288,2024-03-17,ACER,EK241Y,100Hz,ACER EK241Y E
螢幕｜投影機｜壁掛,【主機搭購】ACER KA270 H(1A1H/1ms/VA/100Hz/含喇叭FreeSync)抗閃系列.窄邊框 $2999↘,2688,2024-03-17,ACER,KA270,100Hz,ACER KA270 H
螢幕｜投影機｜壁掛,【主機搭購】ACER XV272U RV(2H1P/0.5ms/IPS/144Hz/含喇叭/FreeSync Premium/HDR400) $7488↘,6499,2024-03-17,ACER,XV272U,144Hz,ACER XV272U RV
螢幕｜投影機｜壁掛,【主機搭購】AOPEN 16PM1Q B可攜式顯示器(15.6吋)(1920*1080 IPS)(4ms/USB-C/Mini HDMI)HDR10 $2990↘,2700,2024-03-17,AOPEN,16PM1Q,,AOPEN 16PM1Q B
螢幕｜投影機｜壁掛,【主機搭購】AOPEN 24CV1Y H(1A1H/1ms/VA/100Hz/無喇叭/FreeSync)低藍光.不閃屏 $2188↘,2050,2024-03-17,AOPEN,24CV1Y,100Hz,AOPEN 24CV1Y H
螢幕｜投影機｜壁掛,【主機搭購】AOC 24B2H2(2H/4ms/IPS/100Hz/無喇叭/Adaptive-Sync)抗閃機種 $2380↘,2280,2024-03-17,AOC,24B2H2,100Hz,AOC 24B2H2
螢幕｜投影機｜壁掛,【主機搭購】PHILIPS 221V8A(1A1H/4ms/VA/含喇叭/Adaptive-Sync)低藍光.無閃爍 $2088↘,1988,2024-03-17,PHILIPS,221V8A,,PHILIPS 221V8A
螢幕｜投影機｜壁掛,【主機搭購】PHILIPS 242E1GSJ(1H1P/1ms/VA/144Hz/無喇叭/FreeSync Premium)高CP值 $3088↘,2850,2024-03-17,PHILIPS,242E1GSJ,144Hz,PHILIPS 242E1GSJ
螢幕｜投影機｜壁掛,【主機搭購】PHILIPS Evnia 27M1N3200Z(2H1P/1ms/IPS/165Hz/無喇叭/FreeSync Premium)【活動贈】$3888↘,3680,2024-03-17,PHILIPS,Evnia,165Hz,PHILIPS Evnia 27M1N3200Z
螢幕｜投影機｜壁掛,【主機搭購】PHILIPS Evnia 27M1N5500Z4(2H2P/1ms/IPS/170Hz/無喇叭/FreeSync Premium/HDR400)【活動贈】 $5988↘,5680,2024-03-17,PHILIPS,Evnia,170Hz,PHILIPS Evnia 27M1N5500Z4
螢幕｜投影機｜壁掛,【主機搭購】MSI PRO MP161 E2 商務隨身螢幕(15.6吋)(1920*1080 IPS)(800:1)(USB-C) $4990↘,3990,2024-03-17,MSI,PRO,,MSI PRO MP161 E2
螢幕｜投影機｜壁掛,【主機搭購】MSI PRO MP2412(1H1P/1ms/VA/100Hz/無喇叭)抗閃機種.低藍光.防眩光 $2688↘,2488,2024-03-17,MSI,PRO,100Hz,MSI PRO MP2412
螢幕｜投影機｜壁掛,【主機搭購】MSI PRO MP251(1A1H/1ms/IPS/100Hz/含喇叭)抗閃機種.護眼提醒設計 $2988↘,2788,2024-03-17,MSI,PRO,100Hz,MSI PRO MP251
螢幕｜投影機｜壁掛,【主機搭購】MSI MP275(1A1H/1ms/IPS/100Hz/含喇叭)抗閃系列 $3288↘,2988,2024-03-17,MSI,MP275,100Hz,MSI MP275
螢幕｜投影機｜壁掛,【主機搭購】ViewSonic VX2479-HD-PRO(2H1P/1ms/IPS/165Hz/無喇叭/Adaptive-Sync)保亮點$3788↘,3250,2024-03-17,ViewSonic,VX2479,165Hz,ViewSonic VX2479-HD-PRO
螢幕｜投影機｜壁掛,【主機搭購】ViewSonic VX2718-PC-MHD(2H1P/1ms/VA曲面/165Hz/含喇叭/FreeSync) 保亮點$4588↘,3888,2024-03-17,ViewSonic,VX2718,165Hz,ViewSonic VX2718-PC-MHD
螢幕｜投影機｜壁掛,【主機搭購】華碩 VY229Q(1H1P/1ms/IPS/含喇叭/Adaptive-Sync)低藍光.不閃屏 $2788↘,2688,2024-03-17,華碩,VY229Q,,華碩 VY229Q
螢幕｜投影機｜壁掛,華碩 VB178N(1A1D/5ms/TN/無喇叭/1280*1024/5:4),1488,2024-03-17,華碩,VB178N,,華碩 VB178N
螢幕｜投影機｜壁掛,DELL P1917S(1A1H1P/6ms/IPS/無喇叭/1280*1024/5:4) 四年保,4990,2024-03-17,DELL,P1917S,,DELL P1917S
螢幕｜投影機｜壁掛,AOPEN 20E0Q(1A1H/6ms/TN/無喇叭)低藍光.不閃爍,1888,2024-03-17,AOPEN,20E0Q,,AOPEN 20E0Q
螢幕｜投影機｜壁掛,華碩 VS207DF(1A/5ms/TN/無喇叭) Splendid 影像智慧技術,2250,2024-03-17,華碩,VS207DF,,華碩 VS207DF
螢幕｜投影機｜壁掛,華碩 VC209T(1A1D/5ms/IPS/含喇叭/1440*900 16:10)低藍光.不閃爍【少量】,2980,2024-03-17,華碩,VC209T,,華碩 VC209T
螢幕｜投影機｜壁掛,ACER KA220Q H(1A1H/1ms/VA/100Hz/含喇叭/FreeSync)抗閃系列.護眼▼下殺到 3/31 23:59,1999,2024-03-17,ACER,KA220Q,100Hz,ACER KA220Q H
螢幕｜投影機｜壁掛,ACER KA222Q B(1A1H/1ms/VA/無喇叭)低藍光.不閃屏 *尾盤 【活動↓↓↓】,1999,2024-03-17,ACER,KA222Q,,ACER KA222Q B
螢幕｜投影機｜壁掛,ACER KA222Q H(1A1H/1ms/VA/100Hz/含喇叭/FreeSync)抗閃系列.護眼,2288,2024-03-17,ACER,KA222Q,100Hz,ACER KA222Q H
螢幕｜投影機｜壁掛,ACER EK220Q E3(1A1H/1ms/IPS/100Hz/無喇叭/FreeSync)抗閃系列,1999,2024-03-17,ACER,EK220Q,100Hz,ACER EK220Q E3
螢幕｜投影機｜壁掛,ACER UT222Q(1A1H1P/5ms/IPS/含喇叭/FreeSync)十點觸控,7499,2024-03-17,ACER,UT222Q,,ACER UT222Q
螢幕｜投影機｜壁掛,PHILIPS 221V8A(1A1H/4ms/VA/含喇叭/Adaptive-Sync)低藍光.無閃爍【優惠洽門市】,2088,2024-03-17,PHILIPS,221V8A,,PHILIPS 221V8A
螢幕｜投影機｜壁掛,PHILIPS 221V8LB(1A1H/4ms/VA/100Hz/無喇叭/Adaptive-Sync)抗閃.護眼,2188,2024-03-17,PHILIPS,221V8LB,100Hz,PHILIPS 221V8LB
螢幕｜投影機｜壁掛,AOC 22B2HM2(1A1H/4ms/VA/100Hz/無喇叭/Adaptive-Sync)淨藍光.不閃屏,1990,2024-03-17,AOC,22B2HM2,100Hz,AOC 22B2HM2
螢幕｜投影機｜壁掛,AOPEN 22CV1Q H3(1A1H/1ms/VA/100Hz/無喇叭)淨藍光不閃屏,1899,2024-03-17,AOPEN,22CV1Q,100Hz,AOPEN 22CV1Q H3
螢幕｜投影機｜壁掛,AOPEN 22CL1Q E3(1A1H/1ms/IPS/100Hz/無喇叭/FreeSync),1899,2024-03-17,AOPEN,22CL1Q,100Hz,AOPEN 22CL1Q E3
螢幕｜投影機｜壁掛,AOPEN 22SA2Q H(1A1H/1ms/VA/100Hz/無喇叭/FreeSync)濾藍光.超薄機身,2088,2024-03-17,AOPEN,22SA2Q,100Hz,AOPEN 22SA2Q H
螢幕｜投影機｜壁掛,MSI PRO MP223(1A1H/1ms/VA/100Hz/無喇叭)抗閃機種.低藍光,2220,2024-03-17,MSI,PRO,100Hz,MSI PRO MP223
螢幕｜投影機｜壁掛,terra 2227WHA(1H1P/6.5ms/VA/含喇叭)抗藍光.不閃屏.高度調整 *尾盤,2899,2024-03-17,terra,2227WHA,,terra 2227WHA
螢幕｜投影機｜壁掛,ViewSonic VA2215-H(1A1H/5ms/VA/無喇叭)低藍光.不閃頻,2411,2024-03-17,ViewSonic,VA2215,,ViewSonic VA2215-H
螢幕｜投影機｜壁掛,DELL SE2222H(1A1H/8ms/VA/無喇叭)低藍光.入門熱銷機種.四年保,2788,2024-03-17,DELL,SE2222H,,DELL SE2222H
螢幕｜投影機｜壁掛,華碩 VY229HE(1A1H/1ms/IPS/無喇叭/Adaptive-Syn)護眼.抗菌,2380,2024-03-17,華碩,VY229HE,,華碩 VY229HE
螢幕｜投影機｜壁掛,華碩 VY229Q(1H1P/1ms/IPS/含喇叭/Adaptive-Sync)低藍光.不閃屏.休息提醒.抗菌【優惠洽門市】,2788,2024-03-17,華碩,VY229Q,,華碩 VY229Q
螢幕｜投影機｜壁掛,華碩 VP228HE(1A1H/1ms/TN/含喇叭)低藍光.無閃爍,2480,2024-03-17,華碩,VP228HE,,華碩 VP228HE
螢幕｜投影機｜壁掛,Lenovo D24-40(1A1H/4ms/VA無喇叭/FreeSync)低藍光.護眼,2488,2024-03-17,Lenovo,D24,,Lenovo D24-40
螢幕｜投影機｜壁掛,ACER BR247Y E3(1A1H1P/4ms/IPS/100Hz/含喇叭/FreeSync)抗閃系列.商用無反射機種,4288,2024-03-17,ACER,BR247Y,100Hz,ACER BR247Y E3
螢幕｜投影機｜壁掛,ACER EK241Y E(1A1H/1ms/IPS/100Hz/無喇叭/FreeSync)抗閃系列【優惠洽門市】,2588,2024-03-17,ACER,EK241Y,100Hz,ACER EK241Y E
螢幕｜投影機｜壁掛,ACER QG240Y H3(1A1H/4ms/VA/100Hz/無喇叭/FreeSync/HDR10)抗閃系列【少量】,2588,2024-03-17,ACER,QG240Y,100Hz,ACER QG240Y H3
螢幕｜投影機｜壁掛,ACER QG240Y S3(1H1P/1ms/VA/180Hz/無喇叭/FreeSync Premium)原生180Hz電競【少量】,3188,2024-03-17,ACER,QG240Y,180Hz,ACER QG240Y S3
螢幕｜投影機｜壁掛,ACER SA241Y H(1A1H/1ms/VA/100Hz/含喇叭/FreeSync)抗閃系列.護眼【少量】,2999,2024-03-17,ACER,SA241Y,100Hz,ACER SA241Y H
螢幕｜投影機｜壁掛,ACER SB242Y E(1A1H/1ms/IPS/100Hz/含喇叭/FreeSync)抗閃系列,3288,2024-03-17,ACER,SB242Y,100Hz,ACER SB242Y E
螢幕｜投影機｜壁掛,ACER KA240Y H(1A1H/1ms/VA/100Hz/含喇叭/FreeSync)抗閃系列.護眼,2588,2024-03-17,ACER,KA240Y,100Hz,ACER KA240Y H
螢幕｜投影機｜壁掛,ACER KA242Y E(bmix)(1A1H/1ms/IPS/100Hz/含喇叭/FreeSync)抗閃系列.VGA+HDMI,2388,2024-03-17,ACER,KA242Y,100Hz,ACER KA242Y E
螢幕｜投影機｜壁掛,ACER KB242Y H(1A1H/1ms/VA/100Hz/含喇叭/FreeSync)抗閃系列.護眼,2488,2024-03-17,ACER,KB242Y,100Hz,ACER KB242Y H
螢幕｜投影機｜壁掛,ACER ED240Q H(1A1H/1ms/VA曲面/100Hz/無喇叭/FreeSync Premium)抗閃系列,2688,2024-03-17,ACER,ED240Q,100Hz,ACER ED240Q H
螢幕｜投影機｜壁掛,ACER ED240Q S3(2H1P/1ms/VA曲面/180Hz/含喇叭/FreeSync Premium/HDR10)【少量】,3588,2024-03-17,ACER,ED240Q,180Hz,ACER ED240Q S3
螢幕｜投影機｜壁掛,ACER EI242QR M(2H1P/1ms/VA曲面/170Hz/無喇叭/FreeSync Premium)高刷新曲面螢幕,3588,2024-03-17,ACER,EI242QR,170Hz,ACER EI242QR M
螢幕｜投影機｜壁掛,ACER CB241Y(1H1C/1ms/IPS/含喇叭/FreeSync) 窄邊框螢幕 *尾盤,3999,2024-03-17,ACER,CB241Y,,ACER CB241Y
螢幕｜投影機｜壁掛,ACER VG240Y E(1A2H/1ms/IPS/100Hz/含喇叭/FreeSync) 抗閃系列,3188,2024-03-17,ACER,VG240Y,100Hz,ACER VG240Y E
螢幕｜投影機｜壁掛,ACER VG240Y S3(2H1P/1ms/VA/180Hz/含喇叭/FreeSync Premium)原生180Hz電競,3380,2024-03-17,ACER,VG240Y,180Hz,ACER VG240Y S3
螢幕｜投影機｜壁掛,ACER XV240Y M3(2H1P/0.5ms/IPS/180Hz/含喇叭/FreeSync Premium/HDR10),3688,2024-03-17,ACER,XV240Y,180Hz,ACER XV240Y M3
螢幕｜投影機｜壁掛,ACER XV242 F(2H1P/0.1ms/TN/540Hz/含喇叭/FreeSync Premium/HDR400),14999,2024-03-17,ACER,XV242,540Hz,ACER XV242 F
螢幕｜投影機｜壁掛,BenQ BL2480(Plus) (1A1H1P/5ms/IPS/含喇叭)光智慧護眼螢幕【優惠洽門市】,2980,2024-03-17,BenQ,BL2480,,BenQ BL2480
螢幕｜投影機｜壁掛,BenQ GW2475H(1A2H/5ms/IPS/無喇叭)不閃屏.低藍光.護眼螢幕【優惠洽門市】▼下殺到 3/18 23:59,2588,2024-03-17,BenQ,GW2475H,,BenQ GW2475H
螢幕｜投影機｜壁掛,BenQ GW2480 Plus(1A1H1P/5ms/IPS/含喇叭)獨家光智慧技術.玩色模式,2980,2024-03-17,BenQ,GW2480,,BenQ GW2480 Plus
螢幕｜投影機｜壁掛,BenQ GW2485TC(1H1P1C/5ms/IPS/含喇叭)光智慧護眼.升降.旋轉.降噪麥克風.USB-C 60W【少量】,4988,2024-03-17,BenQ,GW2485TC,,BenQ GW2485TC
螢幕｜投影機｜壁掛,BenQ GW2490(2H1P/5ms/IPS/100Hz/含喇叭)光智慧2.0技術.Coding模式.電子紙模式,3388,2024-03-17,BenQ,GW2490,100Hz,BenQ GW2490
螢幕｜投影機｜壁掛,ZOWIE XL2411K(3H1P/1ms/TN/144Hz/無喇叭)專業電競螢幕【限量】,6990,2024-03-17,ZOWIE,XL2411K,144Hz,ZOWIE XL2411K
螢幕｜投影機｜壁掛,PHILIPS 241V8LB(1A1H/4ms/VA/100Hz/無喇叭/Adaptive-Sync)抗閃系列.低藍光,2488,2024-03-17,PHILIPS,241V8LB,100Hz,PHILIPS 241V8LB
螢幕｜投影機｜壁掛,PHILIPS 241V8B(1A1H/4ms/IPS/100Hz/無喇叭/Adaptive-Sync)抗閃系列.低藍光,2580,2024-03-17,PHILIPS,241V8B,100Hz,PHILIPS 241V8B
螢幕｜投影機｜壁掛,PHILIPS 241V8LAB(1A1H/4ms/VA/100Hz/含喇叭/Adaptive-Sync)抗閃系列.低藍光,2988,2024-03-17,PHILIPS,241V8LAB,100Hz,PHILIPS 241V8LAB
螢幕｜投影機｜壁掛,PHILIPS 242E1GSJ(1H1P/1ms/VA/144Hz/無喇叭/FreeSync Premium)【優惠洽門市】,2988,2024-03-17,PHILIPS,242E1GSJ,144Hz,PHILIPS 242E1GSJ
螢幕｜投影機｜壁掛,PHILIPS 242E2FA(1A1H1P/1ms/IPS/含喇叭/FreeSync)四邊無框.不閃爍 *尾盤,2788,2024-03-17,PHILIPS,242E2FA,,PHILIPS 242E2FA
螢幕｜投影機｜壁掛,【任搭】PHILIPS 242E2FA(1A1H1P/1ms/IPS/含喇叭/FreeSync)四邊無框.不閃爍 *尾盤,2688,2024-03-17,PHILIPS,242E2FA,,PHILIPS 242E2FA
螢幕｜投影機｜壁掛,AOC 24B2H2(2H/4ms/IPS/100Hz/無喇叭/Adaptive-Sync)抗閃機種【優惠洽門市】,2380,2024-03-17,AOC,24B2H2,100Hz,AOC 24B2H2
螢幕｜投影機｜壁掛,AOC 24B1XH2(1A1H/4ms/IPS/100Hz/無喇叭/Adaptive-Sync)抗閃機種【少量】,2499,2024-03-17,AOC,24B1XH2,100Hz,AOC 24B1XH2
螢幕｜投影機｜壁掛,AOC 24B2HM2(1A1H/4ms/VA/100Hz/無喇叭/Adaptive-Sync)淨藍光.不閃屏,2290,2024-03-17,AOC,24B2HM2,100Hz,AOC 24B2HM2
螢幕｜投影機｜壁掛,AOC 24B30HM2(1A1H/1ms/VA/100Hz/無喇叭/Adaptive-Sync)淨藍光.抗閃,2599,2024-03-17,AOC,24B30HM2,100Hz,AOC 24B30HM2
螢幕｜投影機｜壁掛,AOC 24G4(2H1P/1ms/IPS/180Hz/無喇叭/Adaptive-Sync)可翻轉.電競顯示器,3599,2024-03-17,AOC,24G4,180Hz,AOC 24G4
螢幕｜投影機｜壁掛,AOPEN 24CV1Y H(1A1H/1ms/VA/100Hz/無喇叭/FreeSync)低藍光.不閃屏【優惠洽門市】,2188,2024-03-17,AOPEN,24CV1Y,100Hz,AOPEN 24CV1Y H
螢幕｜投影機｜壁掛,AOPEN 24CL1Y E(1A1H/1ms/IPS/100Hz/無喇叭/FreeSync)抗閃系列,2288,2024-03-17,AOPEN,24CL1Y,100Hz,AOPEN 24CL1Y E
螢幕｜投影機｜壁掛,AOPEN 24HC5QR S3(2H1P/1ms/VA曲面/180Hz/含喇叭/FreeSync Premium),3588,2024-03-17,AOPEN,24HC5QR,180Hz,AOPEN 24HC5QR S3
螢幕｜投影機｜壁掛,AOPEN 24VT0Y(1A1H/4ms/IPS/含喇叭/AdaptiveSync)10點觸控,7280,2024-03-17,AOPEN,24VT0Y,,AOPEN 24VT0Y
螢幕｜投影機｜壁掛,DELL SE2422H(1A1H/5ms/VA/無喇叭/FreeSync) 低藍光.入門熱銷機種.四年保,3080,2024-03-17,DELL,SE2422H,,DELL SE2422H
螢幕｜投影機｜壁掛,DELL U2422H(1H1P/5ms/IPS/無喇叭)可旋轉.傾斜.高低調整.保無亮點.白銀色.四年保,6488,2024-03-17,DELL,U2422H,,DELL U2422H
螢幕｜投影機｜壁掛,DELL U2424H(1H2P1C/5ms/IPS/120Hz/無喇叭)保亮點.可翻轉.傾斜.左右旋轉.四年保【活動贈】,8988,2024-03-17,DELL,U2424H,120Hz,DELL U2424H
螢幕｜投影機｜壁掛,DELL U2424HE(1H2P1C/5ms/IPS/120Hz/無喇叭)RJ45.可翻轉.左右旋轉.保亮點.四年保,10988,2024-03-17,DELL,U2424HE,120Hz,DELL U2424HE
螢幕｜投影機｜壁掛,DELL P2422H(1A1H1P/5ms/IPS/無喇叭)保無亮點.可傾斜.左右旋轉.四年保,5688,2024-03-17,DELL,P2422H,,DELL P2422H
螢幕｜投影機｜壁掛,DELL P2422HE(1H1P1C/5ms/IPS/無喇叭)保無亮點.可傾斜.左右旋轉.四年保【活動贈】,6988,2024-03-17,DELL,P2422HE,,DELL P2422HE
螢幕｜投影機｜壁掛,【任搭】DELL P2422HE(1H1P1C/5ms/IPS/無喇叭)保無亮點.可傾斜.左右旋轉.四年保【活動贈】,6688,2024-03-17,DELL,P2422HE,,DELL P2422HE
螢幕｜投影機｜壁掛,DELL P2423(1A1D1H1P/5ms/IPS/無喇叭)保無亮點.可高低旋轉.四年保,5888,2024-03-17,DELL,P2423,,DELL P2423
螢幕｜投影機｜壁掛,DELL P2424HT(1H1P1C/5ms/IPS/含喇叭)保亮點.觸控顯示器.摺疊式底座,12800,2024-03-17,DELL,P2424HT,,DELL P2424HT
螢幕｜投影機｜壁掛,LG 24MP400-B(1A1H/5ms/IPS/無喇叭/FreeSync)護眼電競螢幕,2280,2024-03-17,LG,24MP400,,LG 24MP400-B
螢幕｜投影機｜壁掛,MSI PRO MP2412(1H1P/1ms/VA/100Hz/無喇叭)抗閃機種.低藍光.防眩光【優惠洽門市】,2688,2024-03-17,MSI,PRO,100Hz,MSI PRO MP2412
螢幕｜投影機｜壁掛,MSI PRO MP242C(1A1H/5ms/VA曲面/含喇叭)防閃屏技術.低藍光,3488,2024-03-17,MSI,PRO,,MSI PRO MP242C
螢幕｜投影機｜壁掛,MSI PRO MP242A(1A1H1P/1ms/IPS/100Hz/含喇叭)抗閃機種.護眼機種,3288,2024-03-17,MSI,PRO,100Hz,MSI PRO MP242A
螢幕｜投影機｜壁掛,MSI PRO MP242AP(1A1H1P/1ms/IPS/100Hz/含喇叭)抗閃機種.可昇降.翻轉,3488,2024-03-17,MSI,PRO,100Hz,MSI PRO MP242AP
螢幕｜投影機｜壁掛,MSI PRO MP243X(1H1P/5ms/IPS/100Hz/含喇叭)低藍光.抗閃機種▼下殺到 3/31 23:59,2788,2024-03-17,MSI,PRO,100Hz,MSI PRO MP243X
螢幕｜投影機｜壁掛,MSI PRO MP243XP(1H1P/5ms/IPS/100Hz/含喇叭)低藍光.可翻轉.抗閃機種,3488,2024-03-17,MSI,PRO,100Hz,MSI PRO MP243XP
螢幕｜投影機｜壁掛,MSI Modern MD2412PW(1H1C/1ms/IPS/100Hz/含喇叭)抗閃.可調整高低.旋轉.白色,3788,2024-03-17,MSI,Modern,100Hz,MSI Modern MD2412PW
螢幕｜投影機｜壁掛,MSI G2412V(1H1P/1ms/IPS/100Hz/無喇叭/FreeSync)抗閃機種,2788,2024-03-17,MSI,G2412V,100Hz,MSI G2412V
螢幕｜投影機｜壁掛,MSI G245CV(1H1P/1ms/VA曲面/100Hz/無喇叭/Adaptive-Sync) 缺!!!無痛升級 G24C4 E2,3290,2024-03-17,MSI,G245CV,100Hz,MSI G245CV
螢幕｜投影機｜壁掛,MSI G24C4 E2(2H1P/1ms/VA曲面/180Hz/無喇叭/Adaptive-Sync)曲面電競螢幕,3690,2024-03-17,MSI,G24C4,180Hz,MSI G24C4 E2
螢幕｜投影機｜壁掛,MSI G2422C(2H1P/1ms/VA曲面/180Hz/無喇叭/Adaptive-Sync曲面電競,3390,2024-03-17,MSI,G2422C,180Hz,MSI G2422C
螢幕｜投影機｜壁掛,MSI G244F E2(2H1P/1ms/Rapid IPS/180Hz/無喇叭Adaptive-Sync)防閃爍減藍光設計,3990,2024-03-17,MSI,G244F,180Hz,MSI G244F E2
螢幕｜投影機｜壁掛,terra 2427W V2(1H1P1C/8ms/VA/100Hz/含喇叭) 抗藍光.不閃屏,2588,2024-03-17,terra,2427W,100Hz,terra 2427W V2
螢幕｜投影機｜壁掛,terra 2427W HA(1H1P/6ms/VA/含喇叭) 抗藍光.不閃屏.高度調整,3399,2024-03-17,terra,2427W,,terra 2427W HA
螢幕｜投影機｜壁掛,terra 2442W(1A1H/5ms/IPS/100Hz/含喇叭/Adaptive-Sync)抗藍光.不閃屏,2299,2024-03-17,terra,2442W,100Hz,terra 2442W
螢幕｜投影機｜壁掛,terra 2463W(1H1P/5ms/IPS/含喇叭) 德國品質 *尾盤,3999,2024-03-17,terra,2463W,,terra 2463W
